TransactionID,TransactionType,Amount,TransactionDate,CustomerID,FullName,Email,Phone,AccountID,AccountType,Balance,OpeningDate,LoanID,LoanAmount,LoanType,StartDate,EndDate,InterestRate
1,withdrawal,102.15,2023-04-26,85,Carol Miller,yfisher@example.org,6088279027,88,Savings,5652.16,2019-08-12,,,,,,
2,withdrawal,358.8,2020-06-13,91,Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,26,Credit,2881.24,2019-05-06,44.0,32428.9,Mortgage,2021-06-24,2050-01-08 04:59:17.907588,2.12
2,withdrawal,358.8,2020-06-13,91,Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,26,Credit,2881.24,2019-05-06,48.0,31406.77,Personal,2021-02-27,2038-10-12 04:59:17.907821,4.63
2,withdrawal,358.8,2020-06-13,91,Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,26,Credit,2881.24,2019-05-06,76.0,27834.0,Personal,2019-12-05,2037-08-15 04:59:17.909497,2.15
2,withdrawal,358.8,2020-06-13,91,Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,26,Credit,2881.24,2019-05-06,138.0,27873.08,Auto,2022-01-19,2037-06-03 04:59:17.913974,7.03
3,deposit,112.41,2019-05-17,89,Eric Phillips,mark13@example.com,(699)516-7638x82918,152,Savings,2391.9,2020-09-17,13.0,25666.75,Auto,2023-05-09,2039-04-28 04:59:17.905741,6.84
3,deposit,112.41,2019-05-17,89,Eric Phillips,mark13@example.com,(699)516-7638x82918,152,Savings,2391.9,2020-09-17,95.0,23853.85,Personal,2024-01-30,2038-02-12 04:59:17.910713,7.41
3,deposit,112.41,2019-05-17,89,Eric Phillips,mark13@example.com,(699)516-7638x82918,152,Savings,2391.9,2020-09-17,104.0,8092.2,Personal,2021-08-18,2036-04-08 04:59:17.911277,2.85
4,deposit,463.13,2020-09-02,83,Paul Noble,harrisonrachel@example.net,+1-586-758-3968x3144,156,Credit,7880.53,2023-08-14,61.0,11074.47,Personal,2022-02-11,2032-05-06 04:59:17.908590,5.36
4,deposit,463.13,2020-09-02,83,Paul Noble,harrisonrachel@example.net,+1-586-758-3968x3144,156,Credit,7880.53,2023-08-14,77.0,38903.23,Personal,2021-07-14,2042-10-07 04:59:17.909559,2.28
5,withdrawal,21.94,2022-07-03,28,Ryan Alexander,loganjohn@example.org,900.377.1792x148,110,Credit,3020.69,2019-08-13,19.0,18162.6,Personal,2023-11-09,2028-11-08 04:59:17.906084,2.12
6,withdrawal,106.09,2019-03-30,5,Danny Brown,michellearnold@example.org,824-606-7014x9045,188,Savings,947.43,2022-05-06,60.0,12965.19,Mortgage,2022-07-17,2032-12-27 04:59:17.908534,7.43
7,withdrawal,467.37,2019-04-05,48,Desiree Nelson,johnsonhaley@example.com,231.515.3313,124,Savings,4492.62,2020-08-31,34.0,37664.6,Mortgage,2022-12-21,2033-01-26 04:59:17.906957,4.45
8,withdrawal,256.62,2022-05-22,80,Martha Smith,darlenegoodwin@example.net,+1-665-427-6242x5731,101,Credit,8439.15,2020-11-05,,,,,,
9,deposit,272.21,2023-05-27,35,Jesse Osborn,dennis81@example.org,(504)953-6008x457,56,Checking,9232.35,2022-06-13,,,,,,
10,withdrawal,498.95,2021-06-22,39,Anita Park,xpayne@example.net,806-211-4478x986,149,Savings,3717.19,2019-08-19,,,,,,
11,withdrawal,369.25,2022-10-29,40,Evelyn Ward,paul13@example.org,(347)767-4187,78,Checking,3721.97,2022-10-25,14.0,33958.37,Auto,2022-12-19,2036-09-06 04:59:17.905797,5.2
11,withdrawal,369.25,2022-10-29,40,Evelyn Ward,paul13@example.org,(347)767-4187,78,Checking,3721.97,2022-10-25,67.0,12021.11,Personal,2019-03-22,2032-07-01 04:59:17.908931,1.62
11,withdrawal,369.25,2022-10-29,40,Evelyn Ward,paul13@example.org,(347)767-4187,78,Checking,3721.97,2022-10-25,150.0,24333.16,Mortgage,2023-10-17,2025-11-18 04:59:17.915026,1.79
12,withdrawal,295.89,2021-10-02,96,Sabrina Juarez,patrick92@example.com,715-732-5572x27771,127,Checking,4532.51,2022-09-08,75.0,26360.24,Auto,2020-08-26,2026-05-20 04:59:17.909429,2.89
13,deposit,344.01,2023-03-05,41,Kyle Ortiz,lambjacqueline@example.net,(863)835-2860,171,Checking,2448.6,2022-11-04,6.0,14463.85,Auto,2019-09-25,2043-01-23 04:59:17.905321,6.45
13,deposit,344.01,2023-03-05,41,Kyle Ortiz,lambjacqueline@example.net,(863)835-2860,171,Checking,2448.6,2022-11-04,103.0,19565.92,Mortgage,2022-11-28,2050-11-01 04:59:17.911191,3.28
13,deposit,344.01,2023-03-05,41,Kyle Ortiz,lambjacqueline@example.net,(863)835-2860,171,Checking,2448.6,2022-11-04,121.0,8170.0,Personal,2019-10-13,2031-10-24 04:59:17.912604,3.53
14,withdrawal,268.86,2023-07-19,28,Ryan Alexander,loganjohn@example.org,900.377.1792x148,110,Credit,3020.69,2019-08-13,19.0,18162.6,Personal,2023-11-09,2028-11-08 04:59:17.906084,2.12
15,deposit,452.34,2020-03-01,44,Robert Brown,andersonmason@example.net,+1-653-515-2636x153,141,Savings,9772.03,2020-07-30,,,,,,
16,withdrawal,416.56,2023-04-02,69,Jeremy Jacobs,fmartinez@example.org,001-331-228-0826x478,183,Savings,4846.99,2021-08-24,16.0,42684.76,Personal,2024-01-15,2048-02-15 04:59:17.905910,1.96
17,withdrawal,323.69,2019-02-26,58,Daniel Edwards,byoung@example.org,+1-615-756-7330,89,Credit,1496.1,2021-06-16,82.0,34427.31,Mortgage,2022-07-26,2031-01-18 04:59:17.909902,4.02
17,withdrawal,323.69,2019-02-26,58,Daniel Edwards,byoung@example.org,+1-615-756-7330,89,Credit,1496.1,2021-06-16,89.0,17430.29,Auto,2023-10-16,2045-12-04 04:59:17.910330,2.8
17,withdrawal,323.69,2019-02-26,58,Daniel Edwards,byoung@example.org,+1-615-756-7330,89,Credit,1496.1,2021-06-16,143.0,14964.93,Auto,2020-12-22,2042-10-19 04:59:17.914385,5.33
18,withdrawal,355.49,2022-04-30,77,Tommy Brooks,burtonjames@example.com,(534)691-4906,172,Savings,8268.0,2021-01-09,146.0,35994.71,Mortgage,2023-09-03,2048-05-11 04:59:17.914622,3.52
19,withdrawal,56.89,2021-04-09,77,Tommy Brooks,burtonjames@example.com,(534)691-4906,2,Savings,4315.64,2023-04-09,146.0,35994.71,Mortgage,2023-09-03,2048-05-11 04:59:17.914622,3.52
20,withdrawal,40.97,2022-04-21,39,Anita Park,xpayne@example.net,806-211-4478x986,77,Checking,7676.38,2021-05-26,,,,,,
21,deposit,150.47,2020-03-04,67,Carly Mitchell,zachary24@example.org,(728)923-5061,153,Checking,6878.1,2019-12-18,15.0,8056.59,Mortgage,2019-11-16,2032-12-12 04:59:17.905853,7.33
22,deposit,68.11,2022-05-16,23,Sarah Green,lnelson@example.net,(390)584-3409x128,125,Checking,5164.29,2022-09-04,28.0,45034.48,Mortgage,2019-10-04,2034-06-24 04:59:17.906623,2.58
23,withdrawal,125.53,2021-01-25,80,Martha Smith,darlenegoodwin@example.net,+1-665-427-6242x5731,168,Credit,8539.34,2023-03-25,,,,,,
24,withdrawal,168.54,2020-09-14,49,Norman Lee,keithgarcia@example.org,+1-225-907-5033,81,Credit,9770.03,2019-06-20,4.0,35911.84,Mortgage,2023-02-15,2045-02-21 04:59:17.905175,4.0
24,withdrawal,168.54,2020-09-14,49,Norman Lee,keithgarcia@example.org,+1-225-907-5033,81,Credit,9770.03,2019-06-20,5.0,14085.72,Personal,2019-04-24,2038-11-17 04:59:17.905253,2.96
24,withdrawal,168.54,2020-09-14,49,Norman Lee,keithgarcia@example.org,+1-225-907-5033,81,Credit,9770.03,2019-06-20,145.0,26011.89,Personal,2020-01-11,2049-05-18 04:59:17.914544,6.82
25,withdrawal,236.09,2020-11-10,91,Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,14,Credit,444.6,2021-11-01,44.0,32428.9,Mortgage,2021-06-24,2050-01-08 04:59:17.907588,2.12
25,withdrawal,236.09,2020-11-10,91,Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,14,Credit,444.6,2021-11-01,48.0,31406.77,Personal,2021-02-27,2038-10-12 04:59:17.907821,4.63
25,withdrawal,236.09,2020-11-10,91,Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,14,Credit,444.6,2021-11-01,76.0,27834.0,Personal,2019-12-05,2037-08-15 04:59:17.909497,2.15
25,withdrawal,236.09,2020-11-10,91,Geoffrey Banks,gonzalesgeorge@example.net,001-546-857-6518x5359,14,Credit,444.6,2021-11-01,138.0,27873.08,Auto,2022-01-19,2037-06-03 04:59:17.913974,7.03
26,deposit,297.99,2023-05-01,57,Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,1,Savings,8330.83,2024-01-23,47.0,26282.21,Auto,2020-01-09,2049-11-06 04:59:17.907764,3.51
26,deposit,297.99,2023-05-01,57,Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,1,Savings,8330.83,2024-01-23,128.0,40432.8,Mortgage,2023-10-18,2052-01-14 04:59:17.913174,4.29
26,deposit,297.99,2023-05-01,57,Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,1,Savings,8330.83,2024-01-23,149.0,49124.49,Auto,2022-11-05,2031-07-07 04:59:17.914897,5.58
27,deposit,147.5,2020-01-18,38,Monica Graves,xday@example.net,402.918.5084x3030,144,Savings,8648.97,2022-06-05,53.0,48233.91,Personal,2023-12-03,2048-03-25 04:59:17.908108,4.7
27,deposit,147.5,2020-01-18,38,Monica Graves,xday@example.net,402.918.5084x3030,144,Savings,8648.97,2022-06-05,70.0,5710.02,Mortgage,2023-11-28,2047-03-11 04:59:17.909104,5.45
28,deposit,145.72,2019-10-14,52,Kim Stone,garrett28@example.org,001-668-236-9938,179,Savings,7446.25,2023-10-29,,,,,,
29,withdrawal,351.38,2022-05-19,34,Shelby Smith,carolyn11@example.com,580.272.0301x65432,50,Checking,9529.29,2023-05-07,,,,,,
30,deposit,403.71,2023-11-14,71,Eric Anderson,spencer16@example.com,851-945-5888,47,Savings,5051.48,2022-05-16,,,,,,
31,deposit,358.37,2022-08-30,28,Ryan Alexander,loganjohn@example.org,900.377.1792x148,181,Checking,4880.23,2020-09-30,19.0,18162.6,Personal,2023-11-09,2028-11-08 04:59:17.906084,2.12
32,deposit,140.67,2022-11-08,74,Jason Bennett,joseph97@example.net,(632)674-7662x30858,119,Savings,8380.64,2021-11-24,109.0,42355.47,Mortgage,2019-02-23,2036-08-20 04:59:17.911618,7.05
32,deposit,140.67,2022-11-08,74,Jason Bennett,joseph97@example.net,(632)674-7662x30858,119,Savings,8380.64,2021-11-24,123.0,35193.83,Mortgage,2021-01-17,2029-09-08 04:59:17.912750,1.85
33,deposit,268.39,2023-02-11,83,Paul Noble,harrisonrachel@example.net,+1-586-758-3968x3144,162,Credit,7252.65,2019-03-14,61.0,11074.47,Personal,2022-02-11,2032-05-06 04:59:17.908590,5.36
33,deposit,268.39,2023-02-11,83,Paul Noble,harrisonrachel@example.net,+1-586-758-3968x3144,162,Credit,7252.65,2019-03-14,77.0,38903.23,Personal,2021-07-14,2042-10-07 04:59:17.909559,2.28
34,deposit,93.16,2020-09-15,82,Sharon Dunn,hillemily@example.org,+1-257-930-5427x0665,75,Checking,4000.76,2023-09-17,33.0,38009.14,Personal,2023-04-11,2052-03-25 04:59:17.906900,5.8
34,deposit,93.16,2020-09-15,82,Sharon Dunn,hillemily@example.org,+1-257-930-5427x0665,75,Checking,4000.76,2023-09-17,35.0,22725.99,Auto,2019-07-11,2045-04-16 04:59:17.907015,5.42
34,deposit,93.16,2020-09-15,82,Sharon Dunn,hillemily@example.org,+1-257-930-5427x0665,75,Checking,4000.76,2023-09-17,124.0,8040.33,Mortgage,2019-03-28,2026-12-04 04:59:17.912840,6.4
35,withdrawal,384.83,2024-01-22,93,Peter Callahan,miranda13@example.org,+1-790-969-3518,155,Savings,5436.03,2019-04-30,46.0,32850.56,Personal,2021-11-24,2030-09-22 04:59:17.907706,2.81
36,deposit,497.14,2019-10-10,84,Heather Wright,adamssheila@example.net,850-282-6951x4975,68,Credit,3099.1,2022-01-25,87.0,13931.18,Mortgage,2021-01-30,2036-10-09 04:59:17.910193,3.35
37,deposit,30.0,2023-02-24,98,Lauren Gray,kenneth99@example.net,218.715.2894x614,105,Checking,4765.84,2022-02-19,2.0,48933.91,Auto,2020-08-06,2036-11-01 04:59:17.905052,4.43
37,deposit,30.0,2023-02-24,98,Lauren Gray,kenneth99@example.net,218.715.2894x614,105,Checking,4765.84,2022-02-19,80.0,47062.38,Mortgage,2019-10-22,2047-01-26 04:59:17.909784,6.27
38,deposit,494.22,2022-10-02,93,Peter Callahan,miranda13@example.org,+1-790-969-3518,138,Checking,6400.46,2021-03-22,46.0,32850.56,Personal,2021-11-24,2030-09-22 04:59:17.907706,2.81
39,withdrawal,465.1,2021-06-20,33,Stacy Oliver,matthew64@example.net,+1-520-295-6567x57281,190,Checking,3099.96,2023-05-05,,,,,,
40,deposit,306.02,2019-02-28,58,Daniel Edwards,byoung@example.org,+1-615-756-7330,89,Credit,1496.1,2021-06-16,82.0,34427.31,Mortgage,2022-07-26,2031-01-18 04:59:17.909902,4.02
40,deposit,306.02,2019-02-28,58,Daniel Edwards,byoung@example.org,+1-615-756-7330,89,Credit,1496.1,2021-06-16,89.0,17430.29,Auto,2023-10-16,2045-12-04 04:59:17.910330,2.8
40,deposit,306.02,2019-02-28,58,Daniel Edwards,byoung@example.org,+1-615-756-7330,89,Credit,1496.1,2021-06-16,143.0,14964.93,Auto,2020-12-22,2042-10-19 04:59:17.914385,5.33
41,withdrawal,105.12,2022-11-29,12,Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,28,Credit,6681.52,2021-11-09,57.0,19607.01,Mortgage,2023-07-19,2033-05-07 04:59:17.908356,2.93
41,withdrawal,105.12,2022-11-29,12,Joseph Hernandez,zmcbride@example.org,+1-281-215-1718x809,28,Credit,6681.52,2021-11-09,108.0,39348.0,Auto,2020-02-09,2030-01-30 04:59:17.911545,4.95
42,withdrawal,412.17,2022-11-17,67,Carly Mitchell,zachary24@example.org,(728)923-5061,132,Savings,3506.26,2019-12-04,15.0,8056.59,Mortgage,2019-11-16,2032-12-12 04:59:17.905853,7.33
43,withdrawal,328.65,2020-11-16,32,Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,160,Savings,1443.64,2020-05-30,69.0,49675.33,Auto,2021-12-13,2036-08-10 04:59:17.909048,3.89
43,withdrawal,328.65,2020-11-16,32,Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,160,Savings,1443.64,2020-05-30,112.0,31033.48,Personal,2023-11-11,2051-04-06 04:59:17.911837,5.66
43,withdrawal,328.65,2020-11-16,32,Deborah Jenkins,garciakerri@example.net,776-598-8125x88442,160,Savings,1443.64,2020-05-30,141.0,49754.29,Mortgage,2019-11-14,2037-12-30 04:59:17.914202,4.83
44,deposit,448.75,2021-10-31,11,Jason Martin,isabella87@example.com,+1-990-327-2307x7625,109,Checking,4797.54,2022-03-28,58.0,8419.93,Personal,2021-10-29,2038-03-25 04:59:17.908413,4.1
45,withdrawal,36.85,2021-10-05,13,Charles Wise,campossarah@example.net,532.804.9131x538,62,Credit,2920.84,2019-12-03,27.0,20109.87,Auto,2021-06-30,2053-07-24 04:59:17.906568,4.66
46,deposit,430.92,2023-09-12,23,Sarah Green,lnelson@example.net,(390)584-3409x128,121,Checking,8232.61,2019-06-27,28.0,45034.48,Mortgage,2019-10-04,2034-06-24 04:59:17.906623,2.58
47,withdrawal,167.84,2020-03-02,89,Eric Phillips,mark13@example.com,(699)516-7638x82918,85,Checking,2161.94,2021-11-06,13.0,25666.75,Auto,2023-05-09,2039-04-28 04:59:17.905741,6.84
47,withdrawal,167.84,2020-03-02,89,Eric Phillips,mark13@example.com,(699)516-7638x82918,85,Checking,2161.94,2021-11-06,95.0,23853.85,Personal,2024-01-30,2038-02-12 04:59:17.910713,7.41
47,withdrawal,167.84,2020-03-02,89,Eric Phillips,mark13@example.com,(699)516-7638x82918,85,Checking,2161.94,2021-11-06,104.0,8092.2,Personal,2021-08-18,2036-04-08 04:59:17.911277,2.85
48,withdrawal,387.49,2023-03-03,57,Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,1,Savings,8330.83,2024-01-23,47.0,26282.21,Auto,2020-01-09,2049-11-06 04:59:17.907764,3.51
48,withdrawal,387.49,2023-03-03,57,Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,1,Savings,8330.83,2024-01-23,128.0,40432.8,Mortgage,2023-10-18,2052-01-14 04:59:17.913174,4.29
48,withdrawal,387.49,2023-03-03,57,Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,1,Savings,8330.83,2024-01-23,149.0,49124.49,Auto,2022-11-05,2031-07-07 04:59:17.914897,5.58
49,deposit,474.37,2019-08-11,57,Valerie Cuevas,brookscrystal@example.org,760-896-1814x1067,1,Savings,8330.83,2024-01-23,47.0,26282.21,Auto,2020-01-09,2049-11-06 04:59:17.907764,3.51
